source,target,weight
176,11665,1
176,9797,1
176,4045,1
176,14001,1
176,148,2
176,8,4
176,15572,1
176,6497,1
176,777,2
176,1666,1
176,40211,1
176,13024,1
176,4489,1
176,202,1
176,36959,1
176,1691,1
176,217,1
176,7450,1
176,1975,1
176,9420,1
176,2630,1
176,43084,1
176,6334,1
176,57,1
176,1964,3
176,1749,3
176,6678,1
176,47,2
176,1195,1
176,5583,1
176,2,5
176,12,1
176,13535,1
176,10174,2
176,5794,1
176,5463,1
176,6341,1
176,443,3
176,66918,1
176,3731,1
176,30762,1
11665,4237,1
11665,24284,1
11665,24693,1
11665,32883,1
11665,24415,1
11665,25526,1
11665,32719,1
11665,70012,1
11665,3168,1
11665,24225,1
11665,53307,1
11665,23636,1
11665,38077,1
11665,56669,2
11665,11681,2
11665,27256,1
11665,30769,1
11665,78290,1
11665,35022,1
11665,32608,1
11665,24574,1
11665,10526,1
11665,10259,1
11665,1162,1
11665,2538,1
11665,21356,1
11665,7456,1
11665,30973,1
11665,23611,1
11665,87480,1
11665,59341,1
11665,6819,2
11665,25414,1
11665,31626,1
11665,24884,1
11665,21003,1
11665,11517,2
11665,38468,1
11665,15823,1
11665,93344,1
11665,24357,1
11665,32452,1
11665,8686,1
11665,43792,1
11665,12637,1
11665,10518,1
11665,25261,1
11665,57437,1
11665,37841,1
11665,24737,1
11665,3433,1
11665,1217,1
11665,27427,1
11665,17468,1
11665,29328,1
11665,54189,1
11665,26321,1
11665,24865,1
11665,40782,1
11665,11640,1
11665,24820,1
11665,32441,1
11665,14875,1
11665,6009,1
11665,32583,1
11665,22987,1
11665,32042,1
11665,6623,1
11665,59185,1
11665,54683,1
11665,40704,1
11665,74232,1
11665,54680,1
11665,1150,1
11665,1430,1
11665,10515,1
11665,32046,1
11665,54198,1
11665,24945,1
11665,30654,1
11665,1287,1
11665,65463,1
11665,24759,1
11665,32296,1
11665,1732,1
11665,85537,1
11665,24502,1
11665,26471,1
11665,1198,1
11665,32005,1
11665,25903,1
11665,576,1
11665,32064,1
11665,20945,1
11665,25938,1
11665,1180,1
11665,26976,1
11665,25724,1
11665,7485,1
11665,10565,1
11665,10525,1
11665,77562,1
11665,18096,1
11665,61882,1
11665,33451,1
11665,13016,1
11665,85337,1
11665,24770,1
11665,10527,1
11665,1354,1
11665,52395,1
11665,3936,1
11665,901,1
11665,16396,1
11665,10549,1
11665,15031,1
11665,10413,1
11665,14124,1
11665,25804,1
11665,1228,1
11665,36116,1
11665,2258,1
11665,68877,1
11665,83298,1
11665,71414,1
11665,24729,1
11665,18501,1
11665,24279,1
11665,32839,1
11665,4913,1
11665,74009,1
11665,902,1
11665,82327,1
11665,25369,1
11665,1209,1
11665,24603,1
11665,21590,1
11665,24273,1
11665,24561,1
11665,22543,1
11665,57563,1
11665,299,1
11665,32058,1
11665,24635,1
11665,29343,1
11665,27546,1
11665,24363,1
11665,66715,1
11665,7168,1
11665,32269,1
11665,38023,1
11665,36748,1
11665,2132,1
11665,15168,1
11665,4936,1
11665,35196,1
11665,23427,1
11665,32423,1
11665,27397,1
11665,80936,1
11665,25342,1
11665,10533,1
11665,25734,1
11665,29748,1
11665,1211,1
11665,52792,1
11665,15758,1
11665,61705,1
11665,24553,1
11665,9762,1
11665,4239,1
11665,38544,1
11665,10531,1
11665,59179,1
11665,35875,1
11665,76847,1
11665,25052,1
11665,15762,1
11665,14077,1
11665,1225,1
11665,10002,1
11665,24727,1
11665,26442,1
11665,23811,1
11665,77944,1
11665,32872,1
11665,358,1
11665,24740,1
11665,31899,1
11665,35897,1
11665,25574,1
11665,10270,1
11665,10529,1
11665,42583,1
11665,8014,1
11665,25652,1
11665,42090,1
11665,52155,1
11665,10360,1
11665,81136,1
11665,1628,1
11665,24758,1
11665,24145,1
11665,758,1
11665,24285,1
11665,11653,1
11665,16959,1
11665,4069,1
11665,24889,1
11665,25605,1
11665,48465,1
11665,1229,3
11665,36082,1
11665,27634,1
11665,54286,1
11665,33541,1
11665,26078,1
11665,25891,1
11665,38481,1
11665,7670,1
11665,24620,1
11665,11209,1
11665,27955,1
11665,75039,1
11665,16019,1
11665,24474,1
11665,7433,1
11665,41208,1
11665,2144,2
11665,11499,1
11665,21221,1
11665,41572,1
11665,14459,1
11665,32151,1
11665,9657,1
11665,62403,1
11665,62120,1
11665,23437,1
11665,13453,1
11665,24443,1
11665,10078,1
11665,6501,1
11665,27317,1
11665,75102,1
11665,24167,1
11665,28766,1
11665,54905,1
11665,24298,1
11665,25166,1
11665,78796,1
11665,24260,1
11665,22503,1
11665,25940,1
11665,10532,1
11665,32873,1
11665,5913,1
11665,6948,1
11665,25250,1
11665,27300,1
11665,53244,1
11665,54957,1
11665,24881,1
45101,1691,1
45101,58056,1
45101,788,1
45101,13443,1
45101,2,2
45101,8,1
45101,48863,1
45101,94,1
45101,35911,1
1691,36531,1
1691,98180,1
1691,3046,4
1691,72641,2
1691,35088,1
1691,47230,1
1691,11231,1
1691,806,1
1691,6800,1
1691,4350,1
1691,42268,1
1691,34024,2
1691,38639,6
1691,97161,1
1691,98027,1
1691,64686,1
1691,37294,1
1691,12773,1
1691,14507,1
1691,46585,3
1691,14062,1
1691,14897,1
1691,82284,1
1691,3097,1
1691,31661,3
1691,1195,1
1691,16851,1
1691,80063,1
1691,88096,1
1691,38759,1
1691,18162,1
1691,59153,1
1691,4202,1
1691,12127,1
1691,32646,2
1691,3219,3
1691,13617,1
1691,52517,1
1691,71306,7
1691,37492,1
1691,27249,1
1691,18993,1
1691,6336,1
1691,53725,1
1691,56496,2
1691,33408,1
1691,10694,1
1691,36521,1
1691,36672,1
1691,31556,1
1691,35644,3
1691,44274,2
1691,43005,1
1691,48661,2
