Source,Target,Type,weight,book
Addam-Marbrand,Jaime-Lannister,Undirected,3,1.0
Addam-Marbrand,Tywin-Lannister,Undirected,6,1.0
Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,5,1.0
Aegon-I-Targaryen,Eddard-Stark,Undirected,4,1.0
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,4,1.0
Aemon-Targaryen-(Maester-Aemon),Bowen-Marsh,Undirected,4,1.0
Aemon-Targaryen-(Maester-Aemon),Chett,Undirected,9,1.0
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,5,1.0
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,13,1.0
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,34,1.0
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,5,1.0
Aerys-II-Targaryen,Brandon-Stark,Undirected,4,1.0
Aerys-II-Targaryen,Eddard-Stark,Undirected,10,1.0
Aerys-II-Targaryen,Gerold-Hightower,Undirected,3,1.0
Aerys-II-Targaryen,Jaime-Lannister,Undirected,5,1.0
Aerys-II-Targaryen,Jon-Arryn,Undirected,3,1.0
Aerys-II-Targaryen,Robert-Baratheon,Undirected,12,1.0
Aggo,Daenerys-Targaryen,Undirected,11,1.0
Aggo,Drogo,Undirected,6,1.0
Aggo,Jhogo,Undirected,4,1.0
Aggo,Jorah-Mormont,Undirected,5,1.0
Aggo,Quaro,Undirected,3,1.0
Aggo,Rakharo,Undirected,7,1.0
Albett,Halder,Undirected,3,1.0
Albett,Jon-Snow,Undirected,5,1.0
Albett,Rast,Undirected,3,1.0
Alliser-Thorne,Bowen-Marsh,Undirected,3,1.0
Alliser-Thorne,Grenn,Undirected,3,1.0
Alliser-Thorne,Halder,Undirected,4,1.0
Alliser-Thorne,Jeor-Mormont,Undirected,10,1.0
Alliser-Thorne,Jon-Snow,Undirected,32,1.0
Alliser-Thorne,Pypar,Undirected,4,1.0
Alliser-Thorne,Rast,Undirected,5,1.0
